Entity identifier,Entity names,nacionalidade,participação,idno-evento
ent_clorindotesta,Clorindo Testa,Argentina (Nacionalidade),"(ev_0997)  Representação Nacional 
 > Argentina  (Eventos➔04 Bienal de São Paulo➔01 Bienal de Artes Plásticas do Teatro ); (ev_1052)  Representação Nacional 
 > União Pan-Americana ; (ev_1476)  Representação Nacional 
 > Argentina  (Eventos➔14 Bienal de São Paulo➔Proposições Contemporâneas ); (ev_1500)  Representação Nacional 
 > União Pan-Americana ; (ev_1628)  Representação Nacional 
 > Argentina  (Eventos➔19 Bienal de São Paulo➔Exposição Geral )",ev_0997; ev_1052; ev_1476; ev_1500; ev_1628
ent_clovisarrault,Clóvis Arrault,Brasil (Nacionalidade),"(ev_1645)  Selecionado 
  ",ev_1645
ent_clovisgarcia,Clovis Garcia,Brasil (Nacionalidade),"(ev_0997)  Representação Nacional 
 > Brasil  (Eventos➔04 Bienal de São Paulo➔01 Bienal de Artes Plásticas do Teatro ); (ev_1649)  Selecionado 
  ",ev_1052; ev_1052; ev_0997; ev_1649
ent_clovisgraciano,Clóvis Graciano,Brasil (Nacionalidade),"(ev_0997)  Representação Nacional 
 > Brasil  (Eventos➔04 Bienal de São Paulo➔01 Bienal de Artes Plásticas do Teatro ); (ev_1415)  Selecionado 
  ; (ev_1645)  Selecionado 
  ; (ev_1578)  Homenageado 
   (Eventos➔18 Bienal de São Paulo➔Exposições Especiais➔Expressionismo no Brasil - Heranças e Afinidades ); (ev_1746)  Selecionado 
  ",ev_0935; ev_0935; ev_0983; ev_0954; ev_0997; ev_1415; ev_1645; ev_1578; ev_1746
ent_clovishugueneyir,Clovis Hugueney Irigaray,Brasil (Nacionalidade),"(ev_1413)  Selecionado 
  ; (ev_1469)   
  ",ev_1413; ev_1469
ent_clovisperetti,Clovis Peretti,Brasil (Nacionalidade),"(ev_0725)  Selecionado 
  ",ev_0725
ent_clusignoli,C. Lusignoli,Itália (Nacionalidade),"(ev_1022)  Representação Nacional 
 > Itália  (Eventos➔05 Bienal de São Paulo➔02 Bienal de Artes Plásticas do Teatro )",ev_1022
ent_cmcristini,C. M. Cristini,Itália (Nacionalidade),"(ev_1022)  Representação Nacional 
 > Itália  (Eventos➔05 Bienal de São Paulo➔02 Bienal de Artes Plásticas do Teatro )",ev_1022
ent_cmehrlbennett,C. Mehrl Bennett,Estados Unidos (Nacionalidade),"(ev_1522)  Convidado 
   (Eventos➔16 Bienal de São Paulo➔Núcleo I )",ev_1522
ent_codas,Jorge Codas,Paraguai (Nacionalidade),"(ev_1628)  Representação Nacional 
 > Paraguai  (Eventos➔19 Bienal de São Paulo➔Exposição Geral )",ev_1628
ent_coghuf,Coghuf,Suíça (Nacionalidade),"(ev_0954)  Representação Nacional 
 > Suíça  (Eventos➔02 Bienal de São Paulo➔Sala Geral )",ev_0954
ent_colinbarker,Colin Barker,Guiana (Nacionalidade),"(ev_1387)  Representação Nacional 
 > Guiana ",ev_1387
ent_colincampbell,Colin Campbell,Canadá (Nacionalidade),"(ev_1476)  Representação Nacional 
 > Canadá  (Eventos➔14 Bienal de São Paulo➔Proposições Contemporâneas )",ev_1476
ent_colincrumplin,Colin Crumplin,Reino Unido (Nacionalidade),"(ev_1522)  Representação Nacional 
 > Reino Unido  (Eventos➔16 Bienal de São Paulo➔Núcleo I )",ev_1522
ent_colingarland,Colin Garland,Jamaica (Nacionalidade),"(ev_1322)  Representação Nacional 
 > Jamaica ",ev_1322
ent_colinself,Colin Self,Reino Unido (Nacionalidade),"(ev_1322)  Representação Nacional 
 > Reino Unido ; (ev_1438)  Representação Nacional 
 > Reino Unido ",ev_1322; ev_1438
ent_colofarcandplastauni,College of Architecture and Planning BALL STATE University,,"(ev_1370)  Selecionado 
  ",ev_1370
ent_colofidearqdacebal,Colegio Oficial de Arquitetos da Cataluña e Baleares,Espanha (Nacionalidade),"(ev_1259)  Selecionado 
  ",ev_1259
ent_colombagereda,Colomba Gereda,Peru (Nacionalidade),"(ev_1438)  Representação Nacional 
 > Peru ",ev_1438
ent_coltecper-dedearq,Colégio Técnico Perth - Departamento de Arquitetura,Austrália (Nacionalidade),"(ev_1127)  Selecionado 
  ",ev_1127
ent_conceicaocotta,Conceição Cotta,Brasil (Nacionalidade),"(ev_1469)  Inscrição Espontânea 
  ",ev_1469
ent_conceicaopilo,Conceição Piló,Brasil (Nacionalidade),"(ev_1226)  Selecionado 
   (Eventos➔09 Bienal de São Paulo➔Sala Geral ); (ev_1322)  Selecionado 
   (Eventos➔11 Bienal de São Paulo➔Sala Especial: Gravura (Didática) ); (ev_0725)  Selecionado 
  ; (ev_1415)  Selecionado 
  ; (ev_1311)  Selecionado 
  ",ev_1226; ev_1322; ev_0725; ev_1415; ev_1311
ent_conceicfreitasdasilv,Conceição Freitas da Silva,Brasil (Nacionalidade),"(ev_1413)  Selecionado 
  ; (ev_1469)   
  ",ev_1413; ev_1469
ent_concettopozzati,Concetto Pozzati,Itália (Nacionalidade),"(ev_1127)  Representação Nacional 
 > Itália  (Eventos➔07 Bienal de São Paulo➔Sala Geral ); (ev_1749)  Convidado 
   (Eventos➔22 Bienal de São Paulo➔Eventos Paralelos➔Photoidea )",ev_1127; ev_1749
ent_condedeclarac,Conde de Clarac,Brasil (Nacionalidade),"(ev_1645)  Selecionado 
  ",ev_1645
ent_conradmarca-relli,Conrad Marca-Relli,Estados Unidos (Nacionalidade),"(ev_1022)  Representação Nacional 
 > Estados Unidos  (Eventos➔05 Bienal de São Paulo➔Sala Geral )",ev_1022
ent_conradomontanoaub,Conrado Montaño Aubert,México (Nacionalidade),"(ev_1052)  Selecionado 
   (Eventos➔06 Bienal de São Paulo➔06 Exposição Internacional de Arquitetura )",ev_1052
ent_conradosilva,Conrado Silva,Uruguai (Nacionalidade),"(ev_1628)  Selecionado 
  ; (ev_1649)  Representação Nacional 
 > Uruguai  (Eventos➔20 Bienal de São Paulo➔Evento Especial➔Música na Bienal )",ev_1578; ev_1628; ev_1649; ev_1578
ent_conradwestpfahl,Conrad Westpfahl,Alemanha (Nacionalidade),"(ev_0954)  Representação Nacional 
 > Alemanha  (Eventos➔02 Bienal de São Paulo➔Sala Geral )",ev_0954
ent_constant,Constant,Holanda (Nacionalidade),"(ev_1578)  Homenageado 
   (Eventos➔18 Bienal de São Paulo➔Exposições Especiais➔Movimento Cobra )",ev_1578
ent_constantimradev,Constantim Radev,Bulgária (Nacionalidade),"(ev_1387)  Representação Nacional 
 > Bulgária  (Eventos➔12 Bienal de São Paulo➔Sala Especial: Premiados na Bienal de Arquitetura )",ev_1387
ent_constantinblendea,Constantin Blendea,Romênia (Nacionalidade),"(ev_1649)  Representação Nacional 
 > Romênia  (Eventos➔20 Bienal de São Paulo➔Exposição Internacional )",ev_1649
ent_constantinbrancusi,Constantin Brancusi,França (Nacionalidade),"(ev_0954)  Convidado 
   (Eventos➔02 Bienal de São Paulo➔Sala Especial: Cubismo )",ev_0954
ent_constantinnazarov,Constantin Nazarov,União Soviética (Nacionalidade),"(ev_1052)  Representação Nacional 
 > União Soviética ",ev_1052
ent_constantpermeke,Constant Permeke,Bélgica (Nacionalidade),"(ev_0935)  Representação Nacional 
 > Bélgica  (Eventos➔01 Bienal de São Paulo➔Seção Geral ); (ev_0983)  Representação Nacional 
 > Bélgica  (Eventos➔03 Bienal de São Paulo➔Sala Geral )",ev_0935; ev_0983
ent_constanttroyon,Constant Troyon,Brasil (Nacionalidade),"(ev_1052)  Convidado 
   (Eventos➔06 Bienal de São Paulo➔Sala Especial: Boudin e Seu Tempo )",ev_1052
ent_contdonegraofolc,Contribuição do Negro ao Folclore Brasileiro,Brasil (Nacionalidade),"(ev_1500)   
  ",ev_1500
ent_contrafilegrupo,Grupo Contrafilé,Brasil (Nacionalidade),"(ev_2253)  Convidado 
  ",ev_2253
ent_cordeliaurueta,Cordelia Urueta,México (Nacionalidade),"(ev_1052)  Representação Nacional 
 > México ; (ev_1259)  Representação Nacional 
 > México ",ev_1052; ev_1259; ev_1052
ent_corinhewitt,Corin Hewitt,,"(ev_2237)  Selecionado 
  ",ev_2237
ent_corjoscusdesaefa,Coronel José Custódio de Sá e Faria,Brasil (Nacionalidade),"(ev_1645)  Selecionado 
  ",ev_1645
ent_corneille,Corneille,Bélgica (Nacionalidade),"(ev_0954)  Representação Nacional 
 > Holanda  (Eventos➔02 Bienal de São Paulo➔Sala Geral ); (ev_1022)  Representação Nacional 
 > Holanda  (Eventos➔05 Bienal de São Paulo➔Sala Geral ); (ev_1387)   
  ; (ev_1438)  Representação Nacional 
 > Bélgica ; (ev_1578)  Homenageado 
   (Eventos➔18 Bienal de São Paulo➔Exposições Especiais➔Movimento Cobra ); (ev_1649)   
  ; (ev_1877)  Homenageado 
   (Eventos➔24 Bienal de São Paulo➔Núcleo Histórico: Antropofagia e Histórias de Canibalismo )",ev_0954; ev_1022; ev_1387; ev_1438; ev_1578; ev_1649; ev_1877
ent_corneliaparker,Cornelia Parker,Reino Unido (Nacionalidade),"(ev_1749)  Representação Nacional 
 > Reino Unido ",ev_1749
ent_corneliarunyon,Cornelia Runyon,Estados Unidos (Nacionalidade),"(ev_0983)  Representação Nacional 
 > Estados Unidos  (Eventos➔03 Bienal de São Paulo➔Sala Geral )",ev_0983
ent_corneliopenna,Cornélio Penna,Brasil (Nacionalidade),"(ev_1645)  Selecionado 
  ",ev_1645
ent_corneliszitman,Cornelis Zitman,Venezuela (Nacionalidade),"(ev_1628)  Representação Nacional 
 > Venezuela  (Eventos➔19 Bienal de São Paulo➔Exposição Geral )",ev_1628
ent_corneliupetrescu,Corneliu Petrescu,Romênia (Nacionalidade),"(ev_1322)  Representação Nacional 
 > Romênia ",ev_1322
ent_corneliusaugusttazz,Cornelius Augustt Azzaglo,Togo (Nacionalidade),"(ev_2130)  Representação Nacional 
 > Togo ",ev_2130
ent_corneliuskolig,Cornelius Kolig,Áustria (Nacionalidade),"(ev_1438)  Representação Nacional 
 > Áustria ",ev_1438
ent_corpodebailemunic,Corpo de Baile Municipal,Brasil (Nacionalidade),"(ev_1476)  Convidado 
   (Eventos➔14 Bienal de São Paulo➔Proposições Contemporâneas )",ev_1476
ent_corradocagli,Corrado Cagli,Itália (Nacionalidade),"(ev_0935)  Representação Nacional 
 > Itália  (Eventos➔01 Bienal de São Paulo➔Seção Geral ); (ev_1022)  Representação Nacional 
 > Itália  (Eventos➔05 Bienal de São Paulo➔Sala Geral )",ev_0935; ev_1022
